locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKBEMDEF_00001	CDS	264				hypothetical protein
GKBEMDEF_00002	CDS	216				hypothetical protein
GKBEMDEF_00003	CDS	498				hypothetical protein
GKBEMDEF_00004	CDS	345	mbeC			Mobilization protein MbeC
GKBEMDEF_00005	CDS	462				hypothetical protein
GKBEMDEF_00006	CDS	708				hypothetical protein
GKBEMDEF_00007	CDS	195	mutS_1		COG0249	DNA mismatch repair protein MutS
GKBEMDEF_00008	tRNA	77				tRNA-Ile(gat)
GKBEMDEF_00009	tRNA	76				tRNA-Ala(tgc)
GKBEMDEF_00010	tRNA	76				tRNA-Glu(ttc)
GKBEMDEF_00011	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
GKBEMDEF_00012	CDS	372				hypothetical protein
GKBEMDEF_00013	tRNA	77				tRNA-Ile(gat)
GKBEMDEF_00014	tRNA	76				tRNA-Ala(tgc)
GKBEMDEF_00015	rRNA	84				5S ribosomal RNA (partial)
GKBEMDEF_00016	rRNA	76				5S ribosomal RNA (partial)
GKBEMDEF_00017	CDS	273				hypothetical protein
GKBEMDEF_00018	CDS	1521	aplK	2.7.1.-	COG0554	Apulose kinase
GKBEMDEF_00019	CDS	951	sorC_1		COG2390	Sorbitol operon regulator
GKBEMDEF_00020	CDS	831	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
GKBEMDEF_00021	CDS	936	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
GKBEMDEF_00022	CDS	624	entD	2.7.8.-	COG2977	Enterobactin synthase component D
GKBEMDEF_00023	CDS	2229	fepA_1		COG4771	Ferrienterobactin receptor
GKBEMDEF_00024	CDS	1209	fes		COG2382	Enterochelin esterase
GKBEMDEF_00025	CDS	204	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
GKBEMDEF_00026	CDS	561				hypothetical protein
GKBEMDEF_00027	CDS	711	ydjZ		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
GKBEMDEF_00028	CDS	657				hypothetical protein
GKBEMDEF_00029	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
GKBEMDEF_00030	CDS	1221	astC_1	2.6.1.81	COG4992	Succinylornithine transaminase
GKBEMDEF_00031	CDS	1035	astA_1	2.3.1.109	COG3138	Arginine N-succinyltransferase
GKBEMDEF_00032	CDS	1479	astD_1	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
GKBEMDEF_00033	CDS	789	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
GKBEMDEF_00034	rRNA	655				16S ribosomal RNA (partial)
GKBEMDEF_00035	CDS	555	yrdA_1		COG0663	Protein YrdA
GKBEMDEF_00036	CDS	258				hypothetical protein
GKBEMDEF_00037	CDS	819	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
GKBEMDEF_00038	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
GKBEMDEF_00039	CDS	543	topA_1	5.6.2.1		DNA topoisomerase 1
GKBEMDEF_00040	CDS	474	smg			Protein Smg
GKBEMDEF_00041	CDS	1125				hypothetical protein
GKBEMDEF_00042	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
GKBEMDEF_00043	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
GKBEMDEF_00044	CDS	1296	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
GKBEMDEF_00045	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
GKBEMDEF_00046	CDS	414	mscL		COG1970	Large-conductance mechanosensitive channel
GKBEMDEF_00047	CDS	279				hypothetical protein
GKBEMDEF_00048	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
GKBEMDEF_00049	CDS	369				hypothetical protein
GKBEMDEF_00050	CDS	387	rplQ		COG0203	50S ribosomal protein L17
GKBEMDEF_00051	CDS	990	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
GKBEMDEF_00052	CDS	621	rpsD		COG0522	30S ribosomal protein S4
GKBEMDEF_00053	CDS	357	rpsM		COG0099	30S ribosomal protein S13
GKBEMDEF_00054	CDS	1332	secY		COG0201	Protein translocase subunit SecY
GKBEMDEF_00055	CDS	435	rplO		COG0200	50S ribosomal protein L15
GKBEMDEF_00056	CDS	180	rpmD		COG1841	50S ribosomal protein L30
GKBEMDEF_00057	CDS	504	rpsE		COG0098	30S ribosomal protein S5
GKBEMDEF_00058	CDS	354	rplR		COG0256	50S ribosomal protein L18
GKBEMDEF_00059	CDS	534	rplF		COG0097	50S ribosomal protein L6
GKBEMDEF_00060	CDS	393	rpsH		COG0096	30S ribosomal protein S8
GKBEMDEF_00061	CDS	306	rpsN		COG0199	30S ribosomal protein S14
GKBEMDEF_00062	CDS	540	rplE		COG0094	50S ribosomal protein L5
GKBEMDEF_00063	CDS	315	rplX		COG0198	50S ribosomal protein L24
GKBEMDEF_00064	CDS	372	rplN		COG0093	50S ribosomal protein L14
GKBEMDEF_00065	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
GKBEMDEF_00066	CDS	192	rpmC		COG0255	50S ribosomal protein L29
GKBEMDEF_00067	CDS	411	rplP		COG0197	50S ribosomal protein L16
GKBEMDEF_00068	CDS	699	rpsC		COG0092	30S ribosomal protein S3
GKBEMDEF_00069	CDS	333	rplV		COG0091	50S ribosomal protein L22
GKBEMDEF_00070	CDS	279	rpsS		COG0185	30S ribosomal protein S19
GKBEMDEF_00071	CDS	822	rplB		COG0090	50S ribosomal protein L2
GKBEMDEF_00072	CDS	303	rplW		COG0089	50S ribosomal protein L23
GKBEMDEF_00073	CDS	606	rplD		COG0088	50S ribosomal protein L4
GKBEMDEF_00074	CDS	630	rplC		COG0087	50S ribosomal protein L3
GKBEMDEF_00075	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
GKBEMDEF_00076	CDS	579				hypothetical protein
GKBEMDEF_00077	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
GKBEMDEF_00078	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
GKBEMDEF_00079	CDS	891	tuf1_1			Elongation factor Tu 1
GKBEMDEF_00080	CDS	378			COG1662	IS1 family transposase IS1R
GKBEMDEF_00081	CDS	276			COG1662	IS1 family transposase IS1D
GKBEMDEF_00082	CDS	201				hypothetical protein
GKBEMDEF_00083	tRNA	88				tRNA-Ser(gga)
GKBEMDEF_00084	CDS	678	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
GKBEMDEF_00085	CDS	861				hypothetical protein
GKBEMDEF_00086	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
GKBEMDEF_00087	tRNA	88				tRNA-Ser(gga)
GKBEMDEF_00088	CDS	939	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
GKBEMDEF_00089	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
GKBEMDEF_00090	CDS	555	ycdY		COG3381	Chaperone protein YcdY
GKBEMDEF_00091	CDS	483	ycdZ			Inner membrane protein YcdZ
GKBEMDEF_00092	CDS	528	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
GKBEMDEF_00093	CDS	594	betI_1			HTH-type transcriptional regulator BetI
