locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOGGKBHB_00001	tRNA	77				tRNA-Asp(gtc)
NOGGKBHB_00002	tRNA	76				tRNA-Val(tac)
NOGGKBHB_00003	CDS	189				hypothetical protein
NOGGKBHB_00004	rRNA	553				16S ribosomal RNA (partial)
NOGGKBHB_00005	tRNA	76				tRNA-Ala(tgc)
NOGGKBHB_00006	tRNA	77				tRNA-Ile(gat)
NOGGKBHB_00007	CDS	1191	tufA_1		COG0050	Elongation factor Tu
NOGGKBHB_00008	CDS	951		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
NOGGKBHB_00009	CDS	1821	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
NOGGKBHB_00010	CDS	144				hypothetical protein
NOGGKBHB_00011	CDS	792	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
NOGGKBHB_00012	CDS	603				hypothetical protein
NOGGKBHB_00013	CDS	825				hypothetical protein
NOGGKBHB_00014	CDS	1128	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
NOGGKBHB_00015	CDS	621	tmk	2.7.4.9	COG0125	Thymidylate kinase
NOGGKBHB_00016	CDS	906	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
NOGGKBHB_00017	CDS	273				hypothetical protein
NOGGKBHB_00018	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
NOGGKBHB_00019	CDS	321			COG0327	GTP cyclohydrolase 1 type 2 
NOGGKBHB_00020	CDS	1512	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
NOGGKBHB_00021	CDS	480				hypothetical protein
NOGGKBHB_00022	CDS	408				hypothetical protein
NOGGKBHB_00023	CDS	360				hypothetical protein
NOGGKBHB_00024	CDS	933	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
NOGGKBHB_00025	CDS	891				hypothetical protein
NOGGKBHB_00026	CDS	258				hypothetical protein
NOGGKBHB_00027	tRNA	76				tRNA-Thr(tgt)
NOGGKBHB_00028	tRNA	84				tRNA-Tyr(gta)
NOGGKBHB_00029	tRNA	74				tRNA-Gly(tcc)
NOGGKBHB_00030	tRNA	75				tRNA-Thr(ggt)
NOGGKBHB_00031	CDS	1191	tufA_2		COG0050	Elongation factor Tu
NOGGKBHB_00032	CDS	828				hypothetical protein
NOGGKBHB_00033	CDS	174				hypothetical protein
NOGGKBHB_00034	CDS	570				hypothetical protein
NOGGKBHB_00035	CDS	336				hypothetical protein
NOGGKBHB_00036	CDS	669				hypothetical protein
NOGGKBHB_00037	CDS	1092				hypothetical protein
NOGGKBHB_00038	CDS	1152				hypothetical protein
NOGGKBHB_00039	CDS	1248				hypothetical protein
NOGGKBHB_00040	CDS	1653				hypothetical protein
NOGGKBHB_00041	CDS	1377				hypothetical protein
NOGGKBHB_00042	CDS	828				hypothetical protein
NOGGKBHB_00043	CDS	171				hypothetical protein
NOGGKBHB_00044	CDS	390				hypothetical protein
NOGGKBHB_00045	CDS	300				hypothetical protein
NOGGKBHB_00046	CDS	1920	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
NOGGKBHB_00047	CDS	702				hypothetical protein
NOGGKBHB_00048	CDS	615				hypothetical protein
NOGGKBHB_00049	CDS	441	infC		COG0290	Translation initiation factor IF-3
NOGGKBHB_00050	CDS	519				hypothetical protein
NOGGKBHB_00051	CDS	2313	rnr	3.1.13.1	COG0557	Ribonuclease R
NOGGKBHB_00052	CDS	732	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
NOGGKBHB_00053	CDS	1353	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
NOGGKBHB_00054	CDS	1233	nqrB	7.2.1.1	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
NOGGKBHB_00055	CDS	810	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
NOGGKBHB_00056	CDS	672	nqrD	7.2.1.1	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
NOGGKBHB_00057	CDS	609	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
NOGGKBHB_00058	CDS	1236	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
NOGGKBHB_00059	CDS	1521	katA	1.11.1.6	COG0753	Catalase
NOGGKBHB_00060	CDS	1599	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
NOGGKBHB_00061	CDS	534	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
NOGGKBHB_00062	CDS	1035	xecA1	4.4.1.23		2-hydroxypropyl-CoM lyase
NOGGKBHB_00063	CDS	978				hypothetical protein
NOGGKBHB_00064	CDS	489	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
NOGGKBHB_00065	CDS	1797				hypothetical protein
NOGGKBHB_00066	CDS	753				hypothetical protein
NOGGKBHB_00067	CDS	1656	pal_1			Peptidoglycan-associated lipoprotein
NOGGKBHB_00068	CDS	606				hypothetical protein
NOGGKBHB_00069	CDS	1068	fadJ	5.1.2.3		Fatty acid oxidation complex subunit alpha
NOGGKBHB_00070	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
NOGGKBHB_00071	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
NOGGKBHB_00072	CDS	1470				hypothetical protein
NOGGKBHB_00073	CDS	1185	ackA	2.7.2.1	COG0282	Acetate kinase
NOGGKBHB_00074	CDS	147				hypothetical protein
NOGGKBHB_00075	CDS	1308	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
NOGGKBHB_00076	CDS	900	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
NOGGKBHB_00077	CDS	993	xerC		COG4973	Tyrosine recombinase XerC
NOGGKBHB_00078	CDS	1197	ubiM	1.14.13.-		Ubiquinone hydroxylase UbiM
NOGGKBHB_00079	CDS	447				hypothetical protein
NOGGKBHB_00080	CDS	1044	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
NOGGKBHB_00081	CDS	516	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
NOGGKBHB_00082	CDS	843	thyA	2.1.1.45	COG0207	Thymidylate synthase
NOGGKBHB_00083	CDS	879	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NOGGKBHB_00084	CDS	1638	groL		COG0459	60 kDa chaperonin
NOGGKBHB_00085	CDS	411	groS			10 kDa chaperonin
NOGGKBHB_00086	CDS	729				hypothetical protein
NOGGKBHB_00087	CDS	432				hypothetical protein
NOGGKBHB_00088	CDS	606		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
NOGGKBHB_00089	CDS	1503				hypothetical protein
NOGGKBHB_00090	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
NOGGKBHB_00091	rRNA	557				16S ribosomal RNA (partial)
NOGGKBHB_00092	tRNA	77				tRNA-Met(cat)
NOGGKBHB_00093	CDS	252	fdx_1		COG1145	Ferredoxin
NOGGKBHB_00094	CDS	495	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
NOGGKBHB_00095	CDS	783	frp	1.5.1.38		NADPH-flavin oxidoreductase
NOGGKBHB_00096	CDS	465	smpB		COG0691	SsrA-binding protein
NOGGKBHB_00097	CDS	645				hypothetical protein
NOGGKBHB_00098	CDS	885				hypothetical protein
NOGGKBHB_00099	CDS	2076	ligA	6.5.1.2	COG0272	DNA ligase
NOGGKBHB_00100	CDS	1023				hypothetical protein
NOGGKBHB_00101	CDS	648	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
NOGGKBHB_00102	CDS	993	tgnB	1.14.14.-	COG2141	Flavin-dependent trigonelline monooxygenase, oxygenase component
NOGGKBHB_00103	CDS	702				hypothetical protein
NOGGKBHB_00104	CDS	996	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NOGGKBHB_00105	CDS	846				hypothetical protein
NOGGKBHB_00106	CDS	918				hypothetical protein
NOGGKBHB_00107	CDS	816				hypothetical protein
NOGGKBHB_00108	CDS	1107				hypothetical protein
NOGGKBHB_00109	tRNA	76				tRNA-Gly(gcc)
NOGGKBHB_00110	CDS	1491	ppx_1	3.6.1.11	COG0248	Exopolyphosphatase
NOGGKBHB_00111	CDS	1050	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
NOGGKBHB_00112	CDS	771	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
NOGGKBHB_00113	CDS	840	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
NOGGKBHB_00114	CDS	873	pstA		COG0581	Phosphate transport system permease protein PstA
NOGGKBHB_00115	CDS	963	pstC		COG0573	Phosphate transport system permease protein PstC
NOGGKBHB_00116	CDS	1140	pstS		COG0226	Phosphate-binding protein PstS
NOGGKBHB_00117	CDS	828	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
NOGGKBHB_00118	CDS	321	bolA		COG0271	DNA-binding transcriptional regulator BolA
NOGGKBHB_00119	CDS	1710			COG0659	putative sulfate transporter
NOGGKBHB_00120	CDS	327	blh_1	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
NOGGKBHB_00121	CDS	729	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
NOGGKBHB_00122	CDS	321	trxA		COG0526	Thioredoxin
NOGGKBHB_00123	CDS	1269	rho	3.6.4.-	COG1158	Transcription termination factor Rho
NOGGKBHB_00124	CDS	351				hypothetical protein
NOGGKBHB_00125	CDS	414	ohrA		COG1764	Organic hydroperoxide resistance protein OhrA
NOGGKBHB_00126	CDS	1527	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
NOGGKBHB_00127	CDS	1098	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
NOGGKBHB_00128	CDS	1308	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
NOGGKBHB_00129	CDS	657	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
NOGGKBHB_00130	CDS	1263	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
NOGGKBHB_00131	CDS	243				hypothetical protein
NOGGKBHB_00132	CDS	762				hypothetical protein
NOGGKBHB_00133	CDS	414				hypothetical protein
NOGGKBHB_00134	CDS	495				hypothetical protein
NOGGKBHB_00135	CDS	483	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
NOGGKBHB_00136	CDS	579				hypothetical protein
NOGGKBHB_00137	CDS	459				hypothetical protein
NOGGKBHB_00138	CDS	2091	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
NOGGKBHB_00139	CDS	210				hypothetical protein
NOGGKBHB_00140	CDS	267	rpsO		COG0184	30S ribosomal protein S15
NOGGKBHB_00141	CDS	654			COG3637	putative protein
NOGGKBHB_00142	CDS	936	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NOGGKBHB_00143	CDS	426	rbfA		COG0858	30S ribosome-binding factor
NOGGKBHB_00144	CDS	849			COG3861	putative protein
NOGGKBHB_00145	CDS	507				hypothetical protein
NOGGKBHB_00146	CDS	2739	infB		COG0532	Translation initiation factor IF-2
NOGGKBHB_00147	CDS	1482	nusA		COG0195	Transcription termination/antitermination protein NusA
NOGGKBHB_00148	CDS	498	rimP		COG0779	Ribosome maturation factor RimP
NOGGKBHB_00149	tRNA	77				tRNA-Met(cat)
NOGGKBHB_00150	tRNA	85				tRNA-Leu(gag)
NOGGKBHB_00151	CDS	303	secG		COG1314	Protein-export membrane protein SecG
NOGGKBHB_00152	CDS	753	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
NOGGKBHB_00153	CDS	1098	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
NOGGKBHB_00154	CDS	1485	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
NOGGKBHB_00155	CDS	1560	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
NOGGKBHB_00156	CDS	1959	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
NOGGKBHB_00157	CDS	351	ftsL			Cell division protein FtsL
NOGGKBHB_00158	CDS	993	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
NOGGKBHB_00159	CDS	1497	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
NOGGKBHB_00160	tRNA	76				tRNA-Ala(ggc)
NOGGKBHB_00161	tRNA	76				tRNA-Glu(ttc)
NOGGKBHB_00162	CDS	675				hypothetical protein
NOGGKBHB_00163	CDS	897				hypothetical protein
NOGGKBHB_00164	CDS	885	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
NOGGKBHB_00165	CDS	1002	thrB	2.7.1.39	COG2334	Homoserine kinase
NOGGKBHB_00166	CDS	774	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
NOGGKBHB_00167	CDS	495	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
NOGGKBHB_00168	CDS	528	nusB			Transcription antitermination protein NusB
NOGGKBHB_00169	CDS	975	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
NOGGKBHB_00170	CDS	606				hypothetical protein
NOGGKBHB_00171	CDS	675				hypothetical protein
NOGGKBHB_00172	CDS	1659				hypothetical protein
NOGGKBHB_00173	CDS	2487				hypothetical protein
NOGGKBHB_00174	CDS	933	hslO		COG1281	33 kDa chaperonin
NOGGKBHB_00175	CDS	1839	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
NOGGKBHB_00176	CDS	1071	lnpD	5.1.3.2		UDP-glucose 4-epimerase
NOGGKBHB_00177	CDS	414				hypothetical protein
NOGGKBHB_00178	CDS	513				hypothetical protein
NOGGKBHB_00179	CDS	246				hypothetical protein
NOGGKBHB_00180	CDS	1269				hypothetical protein
NOGGKBHB_00181	CDS	1629	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NOGGKBHB_00182	CDS	873	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
NOGGKBHB_00183	CDS	2580	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
NOGGKBHB_00184	CDS	972	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
NOGGKBHB_00185	CDS	1161				hypothetical protein
NOGGKBHB_00186	CDS	1110	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
